model,time_seconds,ram_after_mb,document_id,rouge1_f1,rouge2_f1,rougeL_f1
Proposed (Mamba only),0.6207834999950137,0.0139923095703125,34363226,0.1944444400964507,0.02631578536011145,0.1388888845408952
Proposed (Mamba only),0.1448829000000842,0.005093574523925781,36914724,0.05555555296682112,0.0,0.05555555296682112
Proposed (Mamba only),0.21107680001296103,0.006924629211425781,40855910,0.2337662293810087,0.044943816184825514,0.12987012548490487
Proposed (Mamba only),0.17099480002070777,0.00531005859375,32736400,0.10526315401662063,0.0,0.10526315401662063
Proposed (Mamba only),0.08443660000921227,0.004492759704589844,40648389,0.16393442235958086,0.031249996411133227,0.16393442235958086
Proposed (Mamba only),0.29551749999518506,0.007317543029785156,39258636,0.11999999668200009,0.0,0.11999999668200009
Proposed (Mamba only),0.24738370001432486,0.005547523498535156,38839837,0.1587301538825902,0.029850741456895407,0.1587301538825902
Proposed (Mamba only),0.13793539998005144,0.005755424499511719,32136921,0.1142857106081634,0.026666663310222646,0.08571428203673485
Proposed (Mamba only),0.00034830000367946923,0.00032520294189453125,35523296,0.16666666191358037,0.0,0.16666666191358037
Proposed (Mamba only),0.29477269999915734,0.006211280822753906,32612168,0.18947368101052633,0.0360360329681035,0.12631578627368428
Proposed (Mamba only),0.21657869999762625,0.006195068359375,33638005,0.14084506585994858,0.0,0.14084506585994858
Proposed (Mamba only),0.2907640000048559,0.0060634613037109375,39654348,0.19512194707911967,0.04301074896519861,0.14634145927424164
Proposed (Mamba only),0.4294856000051368,0.008337020874023438,39950399,0.10989010658616118,0.0,0.08791208460813923
Proposed (Mamba only),0.695120099990163,0.009913444519042969,16222940,0.18421052299168977,0.02325581107355363,0.1315789440443214
Proposed (Mamba only),0.17520800000056624,0.006203651428222656,38389507,0.05714285263673504,0.0,0.05714285263673504
Proposed (Mamba only),0.43347359998733737,0.007243156433105469,30346384,0.19672130696049456,0.029411760328720376,0.19672130696049456
Proposed (Mamba only),0.10977229999843985,0.004523277282714844,35436910,0.061538458726627346,0.0,0.061538458726627346
Proposed (Mamba only),0.08139249999658205,0.005089759826660156,29021180,0.1071428532206634,0.0,0.07142856750637776
Proposed (Mamba only),0.2655410000006668,0.008401870727539062,32713124,0.09756097192147545,0.0,0.04878048411659754
Proposed (Mamba only),0.694220100005623,0.0102081298828125,36684452,0.15624999641113288,0.02898550384373071,0.12499999641113292
Proposed (Mamba only),0.20010680000996217,0.0051593780517578125,34718944,0.1666666635827665,0.0,0.1666666635827665
Proposed (Mamba only),0.2570867000031285,0.007775306701660156,29455992,0.13513513119065024,0.02439024034205882,0.13513513119065024
Proposed (Mamba only),0.2518976000137627,0.00568389892578125,34152489,0.1111111068672841,0.0,0.1111111068672841
Proposed (Mamba only),0.19758449998334982,0.005452156066894531,37805331,0.20952380589569167,0.03149605983011998,0.1714285678004536
Proposed (Mamba only),0.30435260001104325,0.0070343017578125,36189022,0.227272723205062,0.06060605683093585,0.18181817775051662
Proposed (Mamba only),0.2177642000024207,0.00635528564453125,35761011,0.12962962627743493,0.01612902923647299,0.11111110775891642
Proposed (Mamba only),0.45542469999054447,0.007353782653808594,39632041,0.09302325324770153,0.0,0.06976743929421318
Proposed (Mamba only),0.21383979998063296,0.007128715515136719,29252950,0.19047618639455788,0.02061855268360159,0.16666666258503413
Proposed (Mamba only),0.24504879998858087,0.005429267883300781,40615948,0.17721518564332647,0.0,0.17721518564332647
Proposed (Mamba only),0.06177830000524409,0.005303382873535156,36226983,0.17647058479671288,0.0,0.14705882009083052
Proposed (Mamba + semantic),0.16319730001850985,0.023453712463378906,34363226,0.1318681280908104,0.0,0.08791208413476649
Proposed (Mamba + semantic),0.09571689998847432,0.00629425048828125,36914724,0.06249999715332044,0.0,0.06249999715332044
Proposed (Mamba + semantic),0.11653759999899194,0.0062999725341796875,40855910,0.17391303952032144,0.03669724417136639,0.10869564821597368
Proposed (Mamba + semantic),0.09733049999340437,0.006737709045410156,32736400,0.082191777556765,0.0,0.082191777556765
Proposed (Mamba + semantic),0.05065449999528937,0.005211830139160156,40648389,0.16393442235958086,0.031249996411133227,0.16393442235958086
Proposed (Mamba + semantic),0.1668202000146266,0.0073909759521484375,39258636,0.15730336718091156,0.0,0.08988763684383298
Proposed (Mamba + semantic),0.13881529998616315,0.0070629119873046875,38839837,0.18181817734525227,0.0,0.1558441513712263
Proposed (Mamba + semantic),0.07568830001400784,0.0061626434326171875,32136921,0.11594202527200181,0.0,0.0579710107792483
Proposed (Mamba + semantic),0.0002641000028233975,0.00032520294189453125,35523296,0.16666666191358037,0.0,0.16666666191358037
Proposed (Mamba + semantic),0.15609249999397434,0.007027626037597656,32612168,0.20224718765307415,0.035087716292705705,0.13483145731599552
Proposed (Mamba + semantic),0.10248870000941679,0.0071392059326171875,33638005,0.24999999593233477,0.07766989904420794,0.24999999593233477
Proposed (Mamba + semantic),0.14283910000813194,0.006938934326171875,39654348,0.17283950200274356,0.0,0.12345678595336092
Proposed (Mamba + semantic),0.21456659998511896,0.009325981140136719,39950399,0.10989010658616118,0.0,0.08791208460813923
Proposed (Mamba + semantic),0.3636404999997467,0.010829925537109375,16222940,0.24657533904297244,0.04347825814035934,0.21917807876899983
Proposed (Mamba + semantic),0.07839320000493899,0.006718635559082031,38389507,0.05263157462603914,0.0,0.05263157462603914
Proposed (Mamba + semantic),0.2084949999989476,0.007851600646972656,30346384,0.20588234867214542,0.049382712092669125,0.17647058396626308
Proposed (Mamba + semantic),0.06120759999612346,0.0058441162109375,35436910,0.18666666416355557,0.048192768965016786,0.15999999749688892
Proposed (Mamba + semantic),0.04198860001633875,0.005702018737792969,29021180,0.1071428532206634,0.0,0.07142856750637776
Proposed (Mamba + semantic),0.21162999997613952,0.007956504821777344,32713124,0.09756097192147545,0.0,0.04878048411659754
Proposed (Mamba + semantic),0.613308700005291,0.010376930236816406,36684452,0.19047618754251705,0.05999999745000011,0.19047618754251705
Proposed (Mamba + semantic),0.11408630001824349,0.006417274475097656,34718944,0.1666666635827665,0.0,0.1666666635827665
Proposed (Mamba + semantic),0.1640027999819722,0.007389068603515625,29455992,0.25641025259697575,0.049382712458466954,0.25641025259697575
Proposed (Mamba + semantic),0.137509600026533,0.006640434265136719,34152489,0.11235954684004557,0.01834862063126056,0.11235954684004557
Proposed (Mamba + semantic),0.09789079998154193,0.006542205810546875,37805331,0.20952380589569167,0.03149605983011998,0.1714285678004536
Proposed (Mamba + semantic),0.16973940000752918,0.008801460266113281,36189022,0.2558139493645214,0.06593406194904021,0.20930232145754465
Proposed (Mamba + semantic),0.12194860001909547,0.006669044494628906,35761011,0.11965811649937914,0.015384612472189897,0.10256409940536206
Proposed (Mamba + semantic),0.2418121000227984,0.009324073791503906,39632041,0.10416666432508687,0.016806720742885615,0.08333333099175355
Proposed (Mamba + semantic),0.12210049998247996,0.007220268249511719,29252950,0.24999999580000004,0.04301074856746484,0.2249999958000001
Proposed (Mamba + semantic),0.13837929998408072,0.00693511962890625,40615948,0.13559321709853497,0.0,0.13559321709853497
Proposed (Mamba + semantic),0.06272240000544116,0.005860328674316406,36226983,0.14705882009083052,0.0,0.1176470553849482
Proposed (Mamba + semantic + keyword + position),0.17094430001452565,0.02556610107421875,34363226,0.1318681280908104,0.0,0.08791208413476649
Proposed (Mamba + semantic + keyword + position),0.07812350001768209,0.014204025268554688,36914724,0.06249999715332044,0.0,0.06249999715332044
Proposed (Mamba + semantic + keyword + position),0.10968570000841282,0.020766258239746094,40855910,0.17391303952032144,0.03669724417136639,0.10869564821597368
Proposed (Mamba + semantic + keyword + position),0.10156099998857826,0.015213966369628906,32736400,0.082191777556765,0.0,0.082191777556765
Proposed (Mamba + semantic + keyword + position),0.04980730000534095,0.009548187255859375,40648389,0.16393442235958086,0.031249996411133227,0.16393442235958086
Proposed (Mamba + semantic + keyword + position),0.18226490000961348,0.01655101776123047,39258636,0.10526315488919677,0.0,0.08771929524007396
Proposed (Mamba + semantic + keyword + position),0.14286380002158694,0.019713401794433594,38839837,0.18181817734525227,0.0,0.1558441513712263
Proposed (Mamba + semantic + keyword + position),0.07941189999110065,0.011318206787109375,32136921,0.11594202527200181,0.0,0.08695651802562504
Proposed (Mamba + semantic + keyword + position),0.00022509999689646065,0.00032520294189453125,35523296,0.16666666191358037,0.0,0.16666666191358037
Proposed (Mamba + semantic + keyword + position),0.16746200001216494,0.014783859252929688,32612168,0.21782177912361536,0.06349206071428584,0.17821781872757575
Proposed (Mamba + semantic + keyword + position),0.1137287000019569,0.02158355712890625,33638005,0.24999999593233477,0.07766989904420794,0.24999999593233477
Proposed (Mamba + semantic + keyword + position),0.1817581000213977,0.015236854553222656,39654348,0.17283950200274356,0.0,0.12345678595336092
Proposed (Mamba + semantic + keyword + position),0.2240839000151027,0.03377819061279297,39950399,0.1020408132007498,0.0,0.08163264993544368
Proposed (Mamba + semantic + keyword + position),0.35379640001337975,0.03133106231689453,16222940,0.29411764346020763,0.07058823238754337,0.17647058463667825
Proposed (Mamba + semantic + keyword + position),0.09927199999219738,0.019382476806640625,38389507,0.07317072756692469,0.0,0.07317072756692469
Proposed (Mamba + semantic + keyword + position),0.23024390000500716,0.017594337463378906,30346384,0.20588234867214542,0.049382712092669125,0.17647058396626308
Proposed (Mamba + semantic + keyword + position),0.06395290000364184,0.012462615966796875,35436910,0.18666666416355557,0.048192768965016786,0.15999999749688892
Proposed (Mamba + semantic + keyword + position),0.06405330001143739,0.009369850158691406,29021180,0.1071428532206634,0.0,0.07142856750637776
Proposed (Mamba + semantic + keyword + position),0.17344829998910427,0.02354907989501953,32713124,0.09756097192147545,0.0,0.04878048411659754
Proposed (Mamba + semantic + keyword + position),0.4163190000108443,0.03048992156982422,36684452,0.19047618754251705,0.05999999745000011,0.19047618754251705
Proposed (Mamba + semantic + keyword + position),0.09426630000234582,0.01578521728515625,34718944,0.1666666635827665,0.0,0.1666666635827665
Proposed (Mamba + semantic + keyword + position),0.13385310000739992,0.0173187255859375,29455992,0.25641025259697575,0.049382712458466954,0.25641025259697575
Proposed (Mamba + semantic + keyword + position),0.1111465000140015,0.014474868774414062,34152489,0.10638297513807166,0.017094014040470996,0.10638297513807166
Proposed (Mamba + semantic + keyword + position),0.0979386999970302,0.011671066284179688,37805331,0.20952380589569167,0.03149605983011998,0.1714285678004536
Proposed (Mamba + semantic + keyword + position),0.18012659999658354,0.031205177307128906,36189022,0.2558139493645214,0.06593406194904021,0.20930232145754465
