model,document_id,time_seconds,python_memory_delta_mb,rouge1_f1,rouge2_f1,rougeL_f1
Proposed (Contextual ranker only),40855910,0.17165199998999014,0.0063991546630859375,0.20833333333333331,0.0425531914893617,0.08333333333333333
Proposed (Contextual ranker only),32736400,0.12967469997238368,0.005257606506347656,0.07017543859649122,0.0,0.07017543859649122
Proposed (Contextual ranker only),40648389,0.031155700038652867,0.004462242126464844,0.2571428571428572,0.029411764705882353,0.14285714285714288
Proposed (Contextual ranker only),39258636,0.18468629999551922,0.006508827209472656,0.1016949152542373,0.0,0.0847457627118644
Proposed (Contextual ranker only),38839837,0.10447389999171719,0.005549430847167969,0.25,0.025641025641025644,0.15
Proposed (Contextual ranker only),32136921,0.06595990003552288,0.005341529846191406,0.12658227848101267,0.025974025974025972,0.0759493670886076
Proposed (Contextual ranker only),35523296,0.0002998000127263367,0.00032520294189453125,0.18823529411764706,0.0,0.11764705882352942
Proposed (Contextual ranker only),32612168,0.10971829999471083,0.005961418151855469,0.20224719101123595,0.04597701149425287,0.1348314606741573
Proposed (Contextual ranker only),33638005,0.05902829999104142,0.005580902099609375,0.18604651162790697,0.023809523809523808,0.1395348837209302
Proposed (Contextual ranker only),39654348,0.0906954999663867,0.0059032440185546875,0.2653061224489796,0.0625,0.20408163265306126
Proposed (Contextual ranker only),39950399,0.11458570003742352,0.007464408874511719,0.13675213675213677,0.017391304347826087,0.06837606837606838
Proposed (Contextual ranker only),16222940,0.2056999999913387,0.009893417358398438,0.2588235294117647,0.07228915662650603,0.16470588235294117
Proposed (Contextual ranker only),38389507,0.05021789995953441,0.0054569244384765625,0.075,0.0,0.075
Proposed (Contextual ranker only),30346384,0.1305168999824673,0.007237434387207031,0.14285714285714288,0.020833333333333336,0.10204081632653061
Proposed (Contextual ranker only),35436910,0.03498979995492846,0.00435638427734375,0.05333333333333334,0.0,0.02666666666666667
Proposed (Contextual ranker only),29021180,0.02937150001525879,0.0044097900390625,0.12307692307692307,0.0,0.0923076923076923
Proposed (Contextual ranker only),32713124,0.09572640003170818,0.007084846496582031,0.2158273381294964,0.0291970802919708,0.08633093525179855
Proposed (Contextual ranker only),36684452,0.2113402000395581,0.009520530700683594,0.225,0.10256410256410255,0.2
Proposed (Contextual ranker only),34718944,0.05330650001997128,0.004939079284667969,0.14545454545454548,0.0,0.0909090909090909
Proposed (Contextual ranker only),29455992,0.07697860000189394,0.007079124450683594,0.15384615384615385,0.022471910112359546,0.08791208791208792
Proposed (Contextual ranker only),34152489,0.07226190000073984,0.005639076232910156,0.19780219780219782,0.0,0.13186813186813187
Proposed (Contextual ranker only),37805331,0.057718000025488436,0.00531768798828125,0.21848739495798317,0.05128205128205127,0.13445378151260504
Proposed (Contextual ranker only),36189022,0.09447030001319945,0.007136344909667969,0.2777777777777778,0.07547169811320754,0.1111111111111111
Proposed (Contextual ranker only),35761011,0.06996679998701438,0.005916595458984375,0.1395348837209302,0.015748031496062992,0.06201550387596899
Proposed (Contextual ranker only),39632041,0.11917859996901825,0.0073070526123046875,0.1415929203539823,0.0,0.08849557522123894
Proposed (Contextual ranker only),29252950,0.0735463000019081,0.0061588287353515625,0.3047619047619048,0.058252427184466014,0.13333333333333333
Proposed (Contextual ranker only),40615948,0.07018279994372278,0.00547027587890625,0.22580645161290322,0.0,0.16129032258064516
Proposed (Contextual ranker only),36226983,0.03242689999751747,0.0045070648193359375,0.14285714285714285,0.0,0.1142857142857143
Proposed (Contextual ranker + semantic),34363226,0.08455600001616403,0.023653030395507812,0.1346153846153846,0.0,0.07692307692307693
Proposed (Contextual ranker + semantic),36914724,0.04789490002440289,0.005799293518066406,0.05405405405405405,0.027777777777777776,0.05405405405405405
Proposed (Contextual ranker + semantic),40855910,0.06808659998932853,0.0064983367919921875,0.12121212121212122,0.0,0.0808080808080808
Proposed (Contextual ranker + semantic),32736400,0.05730549996951595,0.006257057189941406,0.125,0.0,0.0625
Proposed (Contextual ranker + semantic),40648389,0.0339675999712199,0.0052165985107421875,0.2571428571428572,0.029411764705882353,0.14285714285714288
Proposed (Contextual ranker + semantic),39258636,0.10482119995867833,0.00738525390625,0.14634146341463417,0.01652892561983471,0.0975609756097561
Proposed (Contextual ranker + semantic),38839837,0.0850124999997206,0.006417274475097656,0.25,0.025641025641025644,0.15
Proposed (Contextual ranker + semantic),32136921,0.0528389000101015,0.006084442138671875,0.11235955056179774,0.0,0.06741573033707865
Proposed (Contextual ranker + semantic),35523296,0.00036969996290281415,0.00032520294189453125,0.18823529411764706,0.0,0.11764705882352942
Proposed (Contextual ranker + semantic),32612168,0.08525549998739734,0.006798744201660156,0.19834710743801653,0.03361344537815126,0.09917355371900827
Proposed (Contextual ranker + semantic),33638005,0.08268339995993301,0.006110191345214844,0.18604651162790697,0.023809523809523808,0.1395348837209302
Proposed (Contextual ranker + semantic),39654348,0.09501269995234907,0.006496429443359375,0.24242424242424243,0.020618556701030927,0.18181818181818182
Proposed (Contextual ranker + semantic),39950399,0.17275179998250678,0.008173942565917969,0.13675213675213677,0.017391304347826087,0.06837606837606838
Proposed (Contextual ranker + semantic),16222940,0.3380013999994844,0.010549545288085938,0.2424242424242424,0.08247422680412371,0.14141414141414144
Proposed (Contextual ranker + semantic),38389507,0.05811539996648207,0.006253242492675781,0.13636363636363638,0.0,0.06818181818181819
Proposed (Contextual ranker + semantic),30346384,0.12499819998629391,0.0078277587890625,0.21428571428571427,0.04878048780487805,0.14285714285714285
Proposed (Contextual ranker + semantic),35436910,0.03804159996798262,0.005206108093261719,0.15555555555555556,0.045454545454545456,0.08888888888888889
Proposed (Contextual ranker + semantic),29021180,0.03166219999548048,0.0051021575927734375,0.12307692307692307,0.0,0.0923076923076923
Proposed (Contextual ranker + semantic),32713124,0.09791710000718012,0.007921218872070312,0.1958041958041958,0.02836879432624113,0.11188811188811189
Proposed (Contextual ranker + semantic),36684452,0.22388629999477416,0.010356903076171875,0.19047619047619047,0.07766990291262135,0.13333333333333333
Proposed (Contextual ranker + semantic),34718944,0.05643270001746714,0.00585174560546875,0.14545454545454548,0.0,0.0909090909090909
Proposed (Contextual ranker + semantic),29455992,0.08657189999939874,0.007602691650390625,0.2588235294117647,0.04819277108433735,0.18823529411764708
Proposed (Contextual ranker + semantic),34152489,0.07806620001792908,0.0065708160400390625,0.1565217391304348,0.017699115044247787,0.10434782608695653
Proposed (Contextual ranker + semantic),37805331,0.055272200028412044,0.006157875061035156,0.208955223880597,0.045454545454545456,0.11940298507462686
Proposed (Contextual ranker + semantic),36189022,0.09751300001516938,0.0075740814208984375,0.3,0.08163265306122448,0.12
Proposed (Contextual ranker + semantic),35761011,0.07602060004137456,0.006077766418457031,0.13333333333333333,0.015037593984962405,0.05925925925925926
Proposed (Contextual ranker + semantic),39632041,0.12948110001161695,0.008118629455566406,0.1415929203539823,0.0,0.08849557522123894
Proposed (Contextual ranker + semantic),29252950,0.06909289996838197,0.006798744201660156,0.3921568627450981,0.1,0.19607843137254904
Proposed (Contextual ranker + semantic),40615948,0.0757488000090234,0.006503105163574219,0.2112676056338028,0.014285714285714287,0.12676056338028172
Proposed (Contextual ranker + semantic),36226983,0.03508689999580383,0.0052967071533203125,0.136986301369863,0.0,0.08219178082191782
Proposed (Contextual ranker + semantic + TF-IDF + position),34363226,0.08865420002257451,0.025577545166015625,0.1346153846153846,0.0,0.07692307692307693
Proposed (Contextual ranker + semantic + TF-IDF + position),36914724,0.052079199987929314,0.0108489990234375,0.05405405405405405,0.027777777777777776,0.05405405405405405
Proposed (Contextual ranker + semantic + TF-IDF + position),40855910,0.07505060004768893,0.015407562255859375,0.15000000000000002,0.03389830508474577,0.08333333333333334
Proposed (Contextual ranker + semantic + TF-IDF + position),32736400,0.06698260002303869,0.0114898681640625,0.125,0.0,0.0625
Proposed (Contextual ranker + semantic + TF-IDF + position),40648389,0.03390529996249825,0.007904052734375,0.2571428571428572,0.029411764705882353,0.14285714285714288
Proposed (Contextual ranker + semantic + TF-IDF + position),39258636,0.11229269998148084,0.01643657684326172,0.14634146341463417,0.01652892561983471,0.0975609756097561
