epoch,training_loss,validation_loss
1,1.3791264149049918,1.34098309079806
2,1.277264249448975,1.4651363303263982
3,1.221537291755279,1.3259255776802699
4,1.1384178317462406,1.4504318376382193
5,1.044832818210125,1.5623139917850495
6,0.9735093431702505,1.5987166528900465
7,0.9074851687687139,1.8328483084837595
8,0.8408848970662802,1.9457781838874022
9,0.7475840917128759,1.8415598432223002
10,0.652155343547929,2.664800374209881
11,0.5902779459080193,2.8235677669445676
12,0.5451369837654056,3.3299730817476907
13,0.4680915893773393,3.68420853416125
14,0.36816234046855245,5.203916581471761
15,0.36562839721203394,4.584111067652702
